text,author
" the interview, bringing with them all their furniture. Not thus, not thus had he imagined this long-awaited meeting … How they lumbered in! Marthels aged father, with his huge bald head, and bags under his eyes, and the rubbery tap of his black cane; Marthe’s brothers, identical twins except that one had a golden mustache and the other a pitch-black one; Marthe’s maternal grandparents, so old that one could already see through them; three vivacious female cousins, who, however, were not admitted for some reason at the last minute; Marthe’s children—lame Diomedon and obese little Pauline; at",Nabokov
" There was something strange and spooky about traveling in this empty, rattling coach between streams of gray smoke, and curious thoughts passed through his head, as though this had all happened at some time before—as though he had lain there as now, his hands pillowing the back of his neck, in the drafty, clattering darkness, and the same smoky sunset had amply and sonorously swept past the windows.He never saw Mary again.tenThe noise grew louder, flooded in, a pale cloud enveloped the window, a glass rattled on the washstand. A train had passed by and now the empty expanse of the railw",Nabokov
" by common propriety and common law to knock into working order the mysterious box they had once discovered in their magic attic, they might have recorded (so as to replay, eight decades later) Giorgio Vanvitelli’s arias as well as Van Veen’s conversations with his sweetheart. Here, for example, is what they might have heard today—with amusement, embarrassment, sorrow, wonder.(Narrator: on that summer day soon after they had entered the kissing phase of their much too premature and in many ways fatal romance, Van and Ada were on their way to the Gun Pavilion alias Shooting Gallery, where t",Nabokov
" as accent was concerned, more successfully than his predecessor, since Lik spoke French with a Russian lilt, drawing out and softening his sentences, dropping the stress before their close, and filtering off with excessive care the spray of auxiliary expressions that so nimbly and rapidly fly off a Frenchman’s tongue. His part was so small, so inconsequential, in spite of its dramatic impact on the actions of the other characters, that it was not worth pondering over; yet he would ponder, especially at the outset of the tour, and not so much out of love for his art as because the disparity be",Nabokov
" poked about, on and off, since the fifties of the last century (always greatly perplexing the local inhabitants). And as clearly as if it were a reminiscence Pilgram saw himself troubling the sleep of a little hotel by stamping and jumping about a room through the wide-open window of which, out of the black generous night, a whitish moth had dashed in and, in an audible bob dance, was kissing its shadow all over the ceiling.In these impossible dreams of his he visited the Islands of the Blessed, where in the hot ravines that cut the lower slopes of the chestnut- and laurel-clad mountains t",Nabokov
" must, it would be such fun.”“I have not seen him yet. He is here on business for The Morning News. They sent him on a trip to America. But the main thing is this: He has a fiancée back in England, and he is getting married in the spring.”“How marvelous!” said Sonia softly. “Everything according to pattern. I can imagine her so well: tall, eyes like saucers, and her mother just like her, only leaner and ruddier. Poor Darwin!”“Nonsense, I’m sure she’s very pretty and intelligent.”“Well, what else can you tell me,” asked Sonia after a silence. Martin shrugged. How rash of him to have u",Nabokov
" and past theinscrutable chink-gleam of Bel's door; but I treasured my privacy more thanI resented its drawbacks. I had the ""Turkish toupet,"" as Louise <188> calledit, to forbid her to communicate with me by thumping on her floor.Eventually I had an interior telephone put in my room, to be used only incertain emergencies: I was thinking of such nervous states as the feeling ofimminent collapse that I experienced sometimes in my nocturnal bouts witheschatological obsessions; and there was always the half-full box ofsleeping pills that only she could have filched.The decision to let Bel stay",Nabokov
" had been on the point of running to the dorophone in the hall at the first bubbling spasm, when young Bout hurried in dragging the long green cord (visibly palpitating in a series of swells and contractions rather like a serpent ingesting a field mouse) of the ornate, brass-and-nacre receiver, which Marina with a wild “A l’eau!” pressed to her ear. It was, however, only fussy old Dan ringing her up to inform everybody that Miller could not make it that night after all and would accompany him to Ardis bright and early on the following morning.“Early but hardly bright,” observed Demon, who was ",Nabokov
" to purge myself of my degrading and dangerous desires, at least to keep them under pacific control. A little money that had come my way after my father’s death (nothing very grand—the Mirana had been sold long before), in addition to my striking if somewhat brutal good looks, allowed me to enter upon my quest with equanimity. After considerable deliberation, my choice fell on the daughter of a Polish doctor: the good man happened to be treating me for spells of dizziness and tachycardia. We played chess: his daughter watched me from behind her easel, and inserted eyes or knuckles borrowed ",Nabokov
" which had to be drawn in different ways at different hours to prevent the sun from getting at the upholstery. A description of the position of the sun, daily and seasonal, was given for the several windows, and if I had heeded all this I would have been kept as busy as a participant in a regatta. A footnote, however, generously suggested that instead of manning the curtains, I might prefer to shift and reshift out of sun range the more precious pieces of furniture (two embroidered armchairs and a heavy “royal console”) but should do it carefully lest I scratch the wall moldings. I canno",Nabokov
" curves and panels; then put it together in terms of reflections. These will be different for each part: the top will display inverted trees with blurred branches growing like roots into a washily photographed sky, with a whalelike building swimming by—an architectural afterthought; one side of the hood will be coated with a band of rich celestial cobalt; a most delicate pattern of black twigs will be mirrored in the outside surface of the rear window; and a remarkable desert view, a distended horizon, with a remote house here and a lone tree there, will stretch along the bumper. This mime",Nabokov
" after a tremendous thunderstorm to ask you to fly over at once because I, Demon, rattling my crumpled wings and cursing the automatic dorophone, could not live without you and because I wished you to see, with me holding you, the daze of desert flowers that the rain had brought out. Your voice was remote but sweet; you said you were in Eve’s state, hold the line, let me put on a penyuar. Instead, blocking my ear, you spoke, I suppose, to the man with whom you had spent the night (and whom I would have dispatched, had I not been overeager to castrate him). Now that is the sketch made b",Nabokov
" white face with that slight shading on the cheeks — he was one of those unfortunate men who have to shave twice a day when dining out — did not show a trace of that dull unhealthy tinge it so often had. His rather large slightly pointed ears were aflame as they were when he was pleasurably excited. I, for my part, was tongue-tied and stiff. Somehow, I felt that I had barged in.'Shall we go to a cinema or something,' asked Sebastian diving into his waistcoat pocket, with two fingers.'Just as you like,' said Clare.'Gah-song,' said Sebastian. I had noticed before that he tried to pro",Nabokov
" seeing him. Therehad been nothing between them, and yet he simply could not be dissuaded fromconfusing her with the girl he once had possessed or thought he had, forthat girl, too, might well have been only the afterimage of a still earlierromance or remembered delirium. It was a very bizarre situation.Now this page was supposed to be a last ominous letter written by thatFrenchman in a foreigner's English to Diana. I was to read it as if it werea real letter and suggest, as an experienced writer, what might be the nextdevelopment or disaster.Beloved!I am not capable to represent to myself",Nabokov
" became too much for him, and taking advantage of her looking away, he would search her beauty for some little fault on which he could prop his mind and sober his fancy, and thus allay the relentless stir of his senses. Now and then he had the impression that he had indeed found the saving flaw—a hard line near the mouth, a pockmark above the eyebrow, a too prominent pout of those full lips in profile, a dark shadow of down above them, especially noticeable when the powder came off. But one turn of her head or the slightest change of expression would restore to her face such adorable cha",Nabokov
" neck. He was a schlapp [a failure], you see.''A schlapp who during his short life made many a fine arrest,' remarked Mac with the generosity and broadmindedness so characteristic of him.'This here belonged to him,' said Linda in confidential tones, showing the pistol to her sister.'The flashlight too?''No, that's Mac's.''My!' said Mariette reverently touching the huge leathery thing.One of the youths, propelled by Krug, collided with the umbrella stand.'Now, now, will you please stop this unseemly scuffle,' said Mac pulling Krug back (poor Krug executed a cakewalk). The two youths at once mad",Nabokov
" suddenly, leaning over just a little, grabbing the gravy boat or the pepper shaker, he would glance interrogatively at Cincinnatus; the latter, however, did not touch any of the food, but continued, just as silently, attentively and diligently, to shift the knife about.“Your remark,” M’sieur Pierre said gaily, turning to the city traffic chief, who had managed to get a word in and was now pleasurably anticipating a scintillating reply, “your remark reminds me of the well-known anecdote about the Hippocratic oath.”“Tell it, we don’t know it, do tell it,” voices begged him from all sides",Nabokov
