,Unnamed: 0,text,author
0,1038," “Sis! Cesse, Lucette! We don’t want any baby serpents around.” “This baby serpent does not quite know what tone to take with Dr. <MASK> <MASK> <MASK> You have not changed one bit, my pale darling, except that you look like a ghost in need of a shave without your summer Glanz.” And summer Mädel. He noticed that the letter, in its long blue envelope, lay now on the mahogany sideboard. He stood in the middle of the parlor, rubbing his forehead, not daring, not daring, because it was Ada’s notepaper. “Like some tea?” She shook her head. “I can’t stay long. Besides, you said something about",Nabokov
1,11724," I discovered that not only it might not, but that it was doubtful whether I could absent myself at all for the weekend. That Friday I came home very late after a harassing day. There was a telegram waiting for me since noon — but so strange is the sovereignty of daily platitudes over the delicate revelations of a dream that I had quite forgotten its earnest whisper, and was simply expecting some business news as I burst the telegram open. 'Sevastian's state hopeless come immediately Starov.' It was worded in French; the 'v' in Sebastian's name was a transcription of its Russian spelling;",Nabokov
2,12516," face?” And no sooner had the door shut after him than she flew, her blue dress rustling, to the telephone. AN AFFAIR OF HONOR 1 THE accursed day when <MASK> <MASK> made the acquaintance of <MASK> existed only in theory, for his memory had not affixed to it a date label at the time, and now it was impossible to identify that day. Broadly speaking, it happened last winter around Christmas, 1926. <MASK> arose out of nonbeing, bowed in greeting, and settled down again—into an armchair instead of his previous nonbeing. It was at the Kurdyumovs’, who lived on St. Mark Strasse, way off",Nabokov
3,15647," possible. The bit about Magarshack's English I could not check, see if you have it in your tall library, and if he is the offender, please stet the sentence (""Magarshack's English, I believe"") that I have crossed out. It is of course quite essential that I should see the galleys. Love from us both. <MASK> <MASK> TO: ROBERT HUGHES1 CC, 1 p. Montreux, Nov. 9, 1965 Palace Hotel Dear Mr. Hughes, Thanks for the copy of the transcript which I am mailing back with my deletions. Please return this copy to me after use. Pages 1–9 are wonderful (the passage about the critics",Nabokov
4,15345," E. SIMMONS1 CC, 2 pp. Ithaca, N.Y. April 8, 1958 Dear Mr. Simmons, I am sending you eleven folders (further called ""volumes"") containing my translation of Pushkin's ""Eugene Onegin"" and a copious Commentary to it. You will find a table of contents at the beginning of vol. 1. This typescript is a precious one (I have only one other copy) in view of the tremendous amount of research involved. There does not exist any other literal and complete English translation of this greatest masterpiece of Russian literature. Nor is there in any language, including Russian, the kind of thorough",Nabokov
5,6715," not so dreadful and drearyin themselves as dreary and difficult to reach by public conveyance. I saton an old hassock at her feet. Her talk flowed on and on, smooth,untroubled, reflecting the image of radiant days, serenity, wealth,goodness. Yet all the time this or that poor little monster with a slaveringmouth and a squint would move upon her from behind a screen or a table androck her chair or clutch at her skirt. When the squealing became too loudshe would only wince a little which hardly affected her reminiscent smile.She kept a kind of fly whisk within easy reach and this she",Nabokov
6,2237," a very fat <MASK> in the yellow blouse he disliked, arms akimbo, looked up at Krug as the barge in its turn was smoothly engulfed by the arch of the bridge. He awoke (asprawl in his leather armchair) and immediately understood that something extraordinary had happened. It had nothing to do with the dream or the quite unprovoked and rather ridiculous physical discomfort he felt (a local congestion) or anything that he recalled in connection with the appearance of his room (untidy and dusty in an untidy and dusty light) or the time of the day (a quarter past eight p.m.; he had fallen asleep",Nabokov
7,11982," sleeping car, across another platform. She felt unbearably hurt. She would rather not have dinner at all than sit facing that boorish monster. “God knows what he took me for,” she reflected, “and all just because I use lipstick.” “What’s the matter, my dear? Aren’t you having dinner?” Princess <MASK> had a ham sandwich in her hand. “No, I don’t feel like it any more. Excuse me, I’m going to take a nap.” The old woman raised her thin brows in surprise, then resumed munching. As for Elena, she leaned her head back and pretended to sleep. Soon she did doze off. Her pale, tired face",Nabokov
8,15158," important and intensely pathetic—and new characters in literature are not born every day. Throughout the years I worked at this book, I discarded many vistas that opened before me, abandoned many alluring but unnecessary sub-plots and generally pared my material to the bone, eliminating everything that was not strictly justified in the light of art. I am saying this in order to stress with absolute finality that I cannot tamper with either the plot or the construction of the thing. To be specific: There is no confusion about Pnin's addresses, and I can send you a complete consecutive",Nabokov
9,2423," wonder my style is denied the blessed grace of spontaneity. Try as I may I do not succeed in getting back into my original envelope, let alone making myself comfortable in my old self; the disorder there is far too great; things have been moved, the lamp is black and dead, bits of my past litter the floor. Quite a happy past, I dare say. I owned in Berlin a small but attractive flat, three and a half rooms, sunny balcony, hot water, central heating; Lydia, my thirty-year-old wife, and Elsie, our seventeen-year-old maid. Close at hand was the garage where stood that delightful little car—a",Nabokov
