,Unnamed: 0,Unnamed: 0.1,text,author
0,0,1038," “sis! cesse, lucette! we don’t want any baby serpents around.” “this baby serpent does not quite know what tone to take with dr. <mask> <mask> <mask> you have not changed one bit, my pale darling, except that you look like a ghost in need of a shave without your summer glanz.” and summer mädel. he noticed that the letter, in its long blue envelope, lay now on the mahogany sideboard. he stood in the middle of the parlor, rubbing his forehead, not daring, not daring, because it was <mask>’s notepaper. “like some tea?” she shook her head. “i can’t stay long. besides, you said something about",Nabokov
1,1,11724," i discovered that not only it might not, but that it was doubtful whether i could absent myself at all for the weekend. that friday i came home very late after a harassing day. there was a telegram waiting for me since noon — but so strange is the sovereignty of daily platitudes over the delicate revelations of a dream that i had quite forgotten its earnest whisper, and was simply expecting some business news as i burst the telegram open. 'sevastian's state hopeless come immediately starov.' it was worded in french; the 'v' in <mask>'s name was a transcription of its russian spelling;",Nabokov
2,2,12516," face?” and no sooner had the door shut after him than she flew, her blue dress rustling, to the telephone. an affair of honor 1 the accursed day when <mask> <mask> made the acquaintance of <mask> existed only in theory, for his memory had not affixed to it a date label at the time, and now it was impossible to identify that day. broadly speaking, it happened last winter around christmas, 1926. <mask> arose out of nonbeing, bowed in greeting, and settled down again—into an armchair instead of his previous nonbeing. it was at the kurdyumovs’, who lived on st. mark strasse, way off",Nabokov
3,3,15647," possible. the bit about magarshack's english i could not check, see if you have it in your tall library, and if he is the offender, please stet the sentence (""magarshack's english, i believe"") that i have crossed out. it is of course quite essential that i should see the galleys. love from us both. <mask> <mask> to: robert hughes1 cc, 1 p. montreux, nov. 9, 1965 palace hotel dear mr. hughes, thanks for the copy of the transcript which i am mailing back with my deletions. please return this copy to me after use. pages 1–9 are wonderful (the passage about the critics",Nabokov
4,4,15345," e. simmons1 cc, 2 pp. ithaca, n.y. april 8, 1958 dear mr. simmons, i am sending you eleven folders (further called ""volumes"") containing my translation of pushkin's ""eugene onegin"" and a copious commentary to it. you will find a table of contents at the beginning of vol. 1. this typescript is a precious one (i have only one other copy) in view of the tremendous amount of research involved. there does not exist any other literal and complete english translation of this greatest masterpiece of russian literature. nor is there in any language, including russian, the kind of thorough",Nabokov
5,5,6715," not so dreadful and drearyin themselves as dreary and difficult to reach by public conveyance. i saton an old hassock at her feet. her talk flowed on and on, smooth,untroubled, reflecting the image of radiant days, serenity, wealth,goodness. yet all the time this or that poor little monster with a slaveringmouth and a squint would move upon her from behind a screen or a table androck her chair or clutch at her skirt. when the squealing became too loudshe would only wince a little which hardly affected her reminiscent smile.she kept a kind of fly whisk within easy reach and this she",Nabokov
6,6,2237," a very fat <mask> in the yellow blouse he disliked, arms akimbo, looked up at <mask> as the barge in its turn was smoothly engulfed by the arch of the bridge. he awoke (asprawl in his leather armchair) and immediately understood that something extraordinary had happened. it had nothing to do with the dream or the quite unprovoked and rather ridiculous physical discomfort he felt (a local congestion) or anything that he recalled in connection with the appearance of his room (untidy and dusty in an untidy and dusty light) or the time of the day (a quarter past eight p.m.; he had fallen asleep",Nabokov
7,7,11982," sleeping car, across another platform. she felt unbearably hurt. she would rather not have dinner at all than sit facing that boorish monster. “god knows what he took me for,” she reflected, “and all just because i use lipstick.” “what’s the matter, my dear? aren’t you having dinner?” princess <mask> had a ham sandwich in her hand. “no, i don’t feel like it any more. excuse me, i’m going to take a nap.” the old woman raised her thin brows in surprise, then resumed munching. as for elena, she leaned her head back and pretended to sleep. soon she did doze off. her pale, tired face",Nabokov
8,8,15158," important and intensely pathetic—and new characters in literature are not born every day. throughout the years i worked at this book, i discarded many vistas that opened before me, abandoned many alluring but unnecessary sub-plots and generally pared my material to the bone, eliminating everything that was not strictly justified in the light of art. i am saying this in order to stress with absolute finality that i cannot tamper with either the plot or the construction of the thing. to be specific: there is no confusion about pnin's addresses, and i can send you a complete consecutive",Nabokov
9,9,2423," wonder my style is denied the blessed grace of spontaneity. try as i may i do not succeed in getting back into my original envelope, let alone making myself comfortable in my old self; the disorder there is far too great; things have been moved, the lamp is black and dead, bits of my past litter the floor. quite a happy past, i dare say. i owned in berlin a small but attractive flat, three and a half rooms, sunny balcony, hot water, central heating; lydia, my thirty-year-old wife, and elsie, our seventeen-year-old maid. close at hand was the garage where stood that delightful little car—a",Nabokov
10,10,1837," did not have to ring or knock or anything for the door on the topmost landing was flung open to greet them by the prodigious dr <mask> who was there already, having zoomed perhaps, up some special backstairs, or by means of those nonstop things as when i used to rise from the twinned night of the keeweenawatin and the horrors of the laurentian revolution, through the ghoul-haunted province of perm, through early recent, slightly recent, not so recent, quite recent, most recent — warm, warm! — up to my room number on my hotel floor in a remote country, up, up, in one of those express",Nabokov
11,11,10544," and käsebier. the innumerable shelves blocking every inch of wall were crammed with grim blue folders that stuck out their long labels, along which from time to time crawled a hungry, litigious bedbug. by the windows worked four typists: one was a hunchback who spent her salary on clothes; the second was a slender, flighty little thing whose father, a butcher, had been killed with a meat hook by his hot-tempered son; the third was a defenseless young girl who was slowly collecting a trousseau, and the fourth was a married woman, a buxom blonde, whose soul was little more than a replica of",Nabokov
12,12,13556," hear his offspring’s public presence—but then i noticed that the mazy and issueless design of the wallpaper was showing through his body; i stretched out my hand to detain my guest, but the dodderer dissolved, shivering from the chill of <mask>ishment. and yet he exists, this father (or existed until quite recently), and if only fate did not bestow on him a salutary ignorance as to the identity of his momentary bedmate, god knows what torment is at large among us, not daring to speak out, and perhaps made even more acute by the fact that the hapless fellow is not fully certain of his",Nabokov
13,13,12051," up to the window. with a relaxed motion, the soldier handed her a streaming mug and closed the sash. his green shoulder turned and withdrew into the murky depths. gingerly carrying the mug, the woman returned to her seat. it was coffee with milk, judging by the brown fringe of skin sticking to the rim. then she began drinking. i have never seen a person drink with such utter, profound, concentrated relish. she forgot her stand, the postcards, the chill wind, her american client, she just sipped, sucked, disappeared totally into her coffee—exactly as i forgot about my vigil and saw only",Nabokov
14,14,15716," of eo, plus a limited critical apparatus, is provided in my contract with bollingen. in the foreword i shall supply for your edition1 i shall formulate the necessary credit in a footnote which will also mention that ""a second edition of the complete text is in preparation."" all this you can check any time you want by calling <mask> <mask> at the foundation. incidentally, if you publish the paperback it would be in our common interest to have <mask> <mask> for editor. text. what you are going to publish is not an ordinary paperback reprint of the original edition but something that will",Nabokov
15,15,7109," simply reflecting transportationof c<mask>vers by commercial aircraft. a certain notion of daytime andnighttime, in more or less regular alternation, gradually established itselfin my mind as my grotesque adventure reached its final phase. diurnal andnocturnal effects were rendered obliquely at first with nurses and otherstagehands going to extreme lengths in the handling of movable properties,such as the bouncing of fake starlight from reflecting surfaces or thedaubing of dawns here and there at suitable intervals. it had never occurredto me before that, historically, art, or at least",Nabokov
16,16,693," glittered, on a separate tray. the french cuisine had contributed its chaudfroids and foie gras. a window was open, and the crickets were stridulating at an ominous speed in the black motionless foliage. it was—to continue the novelistic structure—a long, joyful, delicious dinner, and although the talk consisted mainly of family quips and bright banalities, that reunion was to remain suspended in one’s memory as a strangely significant, not wholly pleasant, experience. one treasured it in the same way as when falling in love with a picture in a pinacoteca or remembering a dream style,",Nabokov
17,17,7880," picked it up and added it to the scripta. “please, go,” said poor bretwit. “i have a pain in my groin that is driving me mad. i have not slept for three nights. you journalists are an obstinate bunch but i am obstinate too. you will never learn from me anything about my king. good-bye.” he waited on the landing for his visitor’s steps to go down and reach the front door. it was opened and closed, and presently the automatic light on the stairs went out with the sound of a kick. line 287: humming as you pack the card (his twenty-fourth) with this passage (lines 287-299) is marked",Nabokov
18,18,12186," coolness and the dry warmth of her long fingers, an incredible bliss came to a boil within him and began deliciously burbling. then, with a start, he looked behind him toward the window. there, along a pale path amid some rocks, walked blue silhouettes with hoods and small lanterns. <mask> looked about the room in which he was standing, but without any awareness of a floor beneath his feet. in the distance, instead of a fourth wall, a far, familiar hall glimmered like water, with the black island of a table at its center. it was then that a sudden terror made him compress the cold",Nabokov
19,19,13277," french fluently, pronouncing les gens (the ser<mask>ts) as if rhyming with agence and splitting août (august) in two syllables (a-ou). she naively translated the russian grabezhi (robberies) as les grabuges (quarrels) and used some archaic french locutions that had somehow survived in old russian families, but she rolled her r’s most convincingly even though she had never been to france. over the dresser in her berlin room a postcard of serov’s portrait of the tsar was fastened with a pin with a fake turquoise head. she was religious, but at times a fit of giggles would overcome her in church.",Nabokov
20,20,8536," years ago, when i was a lad of seven. and, every time, one discovers new things—for instance i notice now that <mask> <mask> does not know on what day his novel starts: it seems to be friday because that is the day the clockman comes to wind up the clocks in the oblonski house, but it is also thursday as mentioned in the conversation at the skating rink between lyovin and kitty’s mother.” “what on earth does it matter,” cried varvara. “who on earth wants to know the exact day?” “i can tell you the exact day,” said pnin, blinking in the broken sunlight and inhaling the remembered tang",Nabokov
21,21,11948," of trees. far below some toy horsemen hurtled past—but soon the sphere rose out of sight. the hen kept peering downward with one little eye. the flight lasted all day. the day concluded with an ample, vivid sunset. when night fell, the sphere began slowly descending. once upon a time, in a village on the shore of the loire, there lived a gentle, wily-eyed peasant. out he goes into the field at dawn. in the middle of the field he sees a marvel: an immense heap of motley silk. nearby, overturned, lay a little cage. a chicken, all white, as if modeled out of snow, was thrusting its head",Nabokov
22,22,9420," or that other one, with shoulders the color of gingerbread, showing him, in a crossed-out corner of a sunlit courtyard, some black salad devouring a green rabbit. these had been pitiful, hurried moments, separated by years of roaming and searching, yet he would have paid anything for any one of them (intermediaries, however, were asked to abstain). recalling those extreme rarities, those little mistresses of his, who had never even noticed the incubus, he also marveled at how he had remained mysteriously ignorant of their subsequent fate; and yet, how many times, on a shabby lawn, on a",Nabokov
23,23,6995," after several years ofcloudless concubinage. they were to live to the combined age of 170 inabsolute bliss, yet one grim fateful chapter remained to be constructed. ifoiled over its first pages at the wrong desk, in the wrong hotel, above thewrong lake, with a view of the wrong isoletta at my left elbow. the onlyright thing was a pregnant-shaped bottle of gattinara before me. in themiddle of a mangled sentence <mask> came to join me from pisa, where igathered--with amused indifference--that she had recoupled with a formerlover. playing on the strings of her meek uneasiness i took her",Nabokov
24,24,8903," was born. and old <mask> mentally invited his future biographer (who as one came nearer to him in time became paradoxically more and more insubstantial, more and more remote) to take a good close look at this chance room where the novella the gambit had been evolved. he drank the rest of his tea in one gulp, donned his coat and hat, learned from the waiter that today was tuesday and not wednesday, smiled not without a certain satisfaction over his own absentmindedness and immediately upon returning home removed the black metal cover from his typewriter. the most vivid thing standing",Nabokov
25,25,5538," that silky shimmer above her temple grading into bright brown hair. and the little bone twitching at the side of her dust-powdered ankle. “the mccoo girl? <mask> <mask> oh, she’s a fright. and mean. and lame. nearly died of polio.” ping. the glistening tracery of down on her forearm. when she got up to take in the wash, i had a chance of adoring from afar the faded seat of her rolled-up jeans. out of the lawn, bland mrs. haze, complete with camera, grew up like a fakir’s fake tree and after some heliotropic fussing—sad eyes up, glad eyes down—had the cheek of taking my picture as i sat",Nabokov
26,26,10633," in winter, in the snowy darkness, a rowdy gang used to tear downhill in a huge, horse-drawn, flat sled while roaring out dactylic hexameters—and the chief of police, in his nightcap, would pull aside his curtain and grin encouragingly, happy that the seminarists’ frolics would frighten off any night burglars. he would have been a priest, like his father, and would have reached, very likely, a high rank—but for the regrettable incident with major protopopov. this was a local landowner, a bon vi<mask>t, a wencher, a dog lover: it was his son that father <mask> too hastily recorded in the",Nabokov
27,27,4548," between fits of coughing. “it simply cannot. why, look at yourself—you’re as pale as death.” the noise in the house was swelling and drawing nearer; it seemed as though that enormous tree were bellowing with all its lights. “… as death,” said <mask>. <mask> felt another onset of nausea; the voices surged forward; sweaty <mask> rushed past, escaping from <mask> and the engineer, and after them came the others guffawing and gibbering, and tom, locked up in the garage, was barking his head off. and the noise of the hunt seemed to pursue <mask> as he vomited in the deserted street and",Nabokov
28,28,12230," walking along the uneven sidewalk, under the slanting streams of black rain. she entered all the bars one by one. bursts of raucous music deafened her and men looked her over insolently. she would glance around the smoky, spinning, motley tavern and go back out into the lashing night. soon it began to seem to her that she was continuously entering one and the same bar, and an agonizing weakness descended upon her shoulders. she walked, limping and emitting barely audible moans, holding tightly the turquoise knob of her cane in her cold hand. a policeman who had been watching her for some",Nabokov
29,29,8875," matter, went off to see the gloomy country doctor, who was a far better chess player than he, and in the evening after dinner, laughing and rubbing his hands, doing his best to ignore the fact that all this was wrong — but why wrong he could not say — he sat his son down with the doctor at the wicker table on the veranda, himself set out the pieces (apologizing for the purple thingum), sat down beside the players and began avidly following the game. twitching his bushy eyebrows and tormenting his fleshy nose with a large hairy fist, the doctor thought long over every move and from time to",Nabokov
30,30,11196," that covered the rest of the sky (but they were by now quite soft and aloof, as if painted in melting undulations upon a greenish ceiling); there, in that narrow slit, the sky was on fire, and opposite, a window and some metallic letters shone like copper. a porter’s long shadow, pushing the shadow of a barrow, sucked in that shadow, but at the turning it protruded again at a sharp angle. “we’ll miss you, zina,” said <mask> nikolavna, from the window of the carriage. “but in any case take your vacation in august and come over—we’ll see if you can’t perhaps stay for good.” “i don’t",Nabokov
31,31,5368," “well, today she did!” “i thought that my ears were beginning to get hallucinations,” said <mask>. “yesterday, for instance, i had the most definite impression that someone was stealing barefoot along the corridor.” “you’ll go out of your mind, if you’re not careful,” said <mask> drily. in the afternoon, during <mask>’ usual nap, she would sometimes go for a stroll with rex. they fetched the letters and newspapers from the post office, or climbed up to the waterfall—and a couple of times went to a café in the pretty little town lower down. once, as they were returning to the house",Nabokov
32,32,7931," bay, on a misty and luminous september day, with the diagonal of the first silver filament crossing the space between two balusters, the king had surveyed the twinkling ripples of lake geneva and had noted their antiphonal response, the flashing of tinfoil scares in the hillside vineyards. gradus as he stood there, and moodily looked down at the red tiles of lavender’s villa snuggling among its protective trees, could make out, with some help from his betters, a part of the lawn and a segment of the pool, and even distinguish a pair of sandals on its marble rim—all that remained of",Nabokov
33,33,4151," lighting every time on the same pendants (which for some reason amused him), and the old chairs extended their plush-covered arms with comical cordiality. an old pug dozed on an embroidered cushion. in reply to the expectant interrogatory sigh of his cousin he had suddenly said, coming to life with a laugh: “well, why don’t you have him come to see me in berlin? i’ll give him a job.” and that was what his wife could not forgive him. she called it “swamping the business with poor relations”; but when you come down to it, how can one poor relation swamp anything? knowing that",Nabokov
34,34,11783," books there, but also various handmade bric-a-brac. petya selected a hammer adorned with poppies and emblazoned with an inscription typical for a bolshevik hammer. the clerk inquired if he would like something else. petya said, “yes, i would,” nodding at a small plaster bust of mister ulyanov.* he paid fifteen marks for bust and hammer, whereupon, without a word, right there on the counter, he popped that bust with that hammer, and with such force that mister ulyanov disintegrated. i was fond of that story, just as i was fond, for instance, of the dear silly sayings from unforgettable",Nabokov
35,35,2316," of <mask>'s brain where it gently expands. the drive was a long one. somewhere, in a rough mountain region four or five thousand feet above sea level they stopped: the soldiers wanted their frishtik [early luncheon] and were not loath to make a quiet picnic of it in that wild and picturesque place. the car stood inert, very slightly leaning on one side among dark rocks and patches of dead white snow. they took out their bread and cucumbers and regimental thermos bottles and moodily munched as they sat hunched up on the footboard or on the withered tousled coarse grass beside the",Nabokov
36,36,2513," and again a figure appeared, and again it was he. i turned on my other side, and for a while all was dark and peaceful, unruffled blackness; then, gradually, a road became perceptible: the same road, but the other way round; and there appeared suddenly before my very face, as if coming out of me, the back of a man’s head and the bag strapped to his shoulders; slowly his figure diminished, he was going, going, in another instant would be gone … but all of a sudden he stopped, glanced back and retraced his steps, so that his face grew clearer and clearer; and it was my own face. i turned",Nabokov
37,37,85," <mask> started to reconstruct his deepest past, he soon noticed that such details of his infancy as really mattered (for the special purpose the reconstruction pursued) could be best treated, could not seldom be only treated, when reappearing at various later stages of his boyhood and youth, as sudden juxtapositions that revived the part while vivifying the whole. this is why his first love has precedence here over his first bad hurt or bad dream. he had just turned thirteen. he had never before left the comforts of the paternal roof. he had never before realized that such “comforts”",Nabokov
38,38,8352," maladjustment, which entailed, of course, comparing notes on their mates, who later were interviewed, too, in a special “husband group,” likewise very informal, with a great passing around of cigars and anatomic charts. pnin skipped the actual reports and case histories—and there is no need to go here into those hilarious details. suffice it to say that already at the third session of the female group, after this or that lady had gone home and seen the light and come back to describe the newly discovered sensation to her still blocked but rapt sisters, a ringing note of revivalism",Nabokov
39,39,8959," toward the waiting taxi. his father's death did not interrupt his work. he was getting ready for the berlin tournament with the definite idea of finding the best defense against the complex opening of the italian turati who was the most awesome of the future participants in the tournament. this player, a representative of the latest fashions in chess, opened the game by moving up on the flanks, leaving the middle of the board unoccupied by pawns but exercising a most dangerous influence on the center from the sides. scorning the cozy safety of castling he strove to create the most",Nabokov
40,40,7781," he was exposed to that arching blaze. he began the descent. three hours later he trod level ground. two old women working in an orchard unbent in slow motion and stared after him. he had passed the pine groves of boscobel and was approaching the quay of blawick, when a black police car turned out of a transverse road and pulled up next to him: “the joke has gone too far,” said the driver. “one hundred clowns are packed in onhava jail, and the ex-king should be among them. our local prison is much too small for more kings. the next masquerader will be shot at sight. what’s your real name,",Nabokov
41,41,10869," the government asks from time to time whether <mask> is guilty—and finally the government will obtain an answer. 8) it is that answer i am waiting for. “the copy of a rather curious letter from <mask>,” added <mask> in pencil. “but he is mistaken: no one will have to apologize.” a few days after that he began to write his novel, what to do?— and by january 15th he had sent the first portion to pypin; a week later he sent a second, and <mask> handed both to <mask> for the contemporary, which had again been permitted (beginning with february). at the same time the russian",Nabokov
42,42,10339," i found in some notes by the french missionary (and learned botanist) barraud, who in the summer of 1917 chanced to meet him in the mountains of tibet, near the village of chetu. “i was amazed to see,” writes <mask> (exploration catholique for 1923), “a saddled white horse grazing in a mountain meadow. presently a man in european dress appeared, descending from the rocks; he greeted me in french and turned out to be the famous russian traveler godunov. i had not seen a european for over eight years. we passed several delightful minutes on the sward in the shade of a rock, discussing a fine",Nabokov
43,43,3133," the gloom of the gothic night, a fiery-haired witch emerge from the chimney into the starry sky. next day <mask> would pay a fine. being of lively and sociable temperament <mask> did not remain alone for long. fairly soon he made friends with his downstairs neighbor <mask> as well as with various men at the soccer field, the club, and the dining hall. he noticed that everyone felt it his duty to discuss russia with him and to learn what he thought about the revolution, intervention, <mask> and trotsky; while some, who had visited russia, praised russian hospitality and asked if he happened",Nabokov
44,44,2314," was really happening,' or in technical language: the 'ego', he goes 'ouf' (out) and the pure 'egg' (common extract of egos) 'remains'. and then the fun began. one of the patients (a 'representative' or 'potential leader'), a heavy handsome boy of seventeen went up to the 'little person' and sat down beside him on the turf and said 'open your mouth'. the 'little person' did what he was told and with unerring precision the youth spat a pebble into the child's open mouth. (this was a wee bit against the rules, because generally speaking, all missiles, instruments, arms and so forth were",Nabokov
45,45,2426," bolshevism meant to her a nuisance akin to the common cold. she took it for granted that facts confirmed her opinion; their truth was too obvious to be discussed. bolsheviks did not believe in god; that was naughty of them, but what else could one expect from sadists and hooligans? when i used to say that communism in the long run was a great and necessary thing; that young, new russia was producing wonderful values, although unintelligible to western minds and unacceptable to destitute and embittered exiles; that history had never yet known such enthusiasm, asceticism, and",Nabokov
46,46,3364," see what you are going to do there.” “suppose i do nothing,” <mask> said gloomily. uncle <mask> looked at him with surprise. “that’s a bizarre answer. i don’t know what your father would have thought of an answer like that. i think he would be as astonished as i am that a young man full of sap and health despises all work. please understand,” he hastily added, noticing that <mask> had reddened unpleasantly, “i am not being stingy—je ne suis pas mesquin. i am rich enough, thank god, to provide for you—i make a duty and a joy of it—but it would be folly not to take a job. europe is passing",Nabokov
47,47,889," the coveted filth hole in the panic and pain of infinite night. you may answer, of course, if you are versed in contemporary novelistics, and if you fancy the jargon of english writers, that a ‘lower-middle-class’ piano tuner who falls in love with a fast ‘upper-class’ girl, thereby destroying his own family, is not committing a crime deserving the castigation which a chance intruder—” with a not unfamiliar gesture, <mask> tore up his prepared speech and said: “mr. rack, open your eyes. i’m <mask> veen. a visitor.” the hollow-cheeked, long-jawed face, wax-pale, with a fattish nose and a",Nabokov
48,48,6757," andin the last pages my young hero accepts a flirt's challenge and accomplishesa final gratuitous feat by walking through a perilous forest into sovietterritory and as casually strolling back. i am giving this summary to exemplify what even the poorest reader ofmy dare must surely retain, unless electrolysis destroys some essentialcells soon after he closes the book. now part of annette's frail charm layin her forgetfulness which veiled everything toward the evening ofeverything, like the kind of pastel haze that obliterates mountains, clouds,and even its own self as the summer day",Nabokov
49,49,15258," of all to wait for doubleday to make up their mind. if they decide that they want to publish <mask> as a book, i shall put you in touch with them in due course. if they decide against publication, i shall put you in touch with the other important publisher who is willing to do the job the way it should be done. whoever publishes <mask> here will have to agree to defend it, at his own expense, and to carry this defense through the courts as far as the supreme court, if necessary. i am sure you are getting a lot of offers right now from all kinds of mediocre firms. so am i. this is not",Nabokov
50,50,14190," lamps, and other maddening details. spacious windows alternated with narrower ones, single or geminate, and some of these were of frosted glass. in a few of the compartments, the beds had been made. the then great and glamorous nord express (it was never the same after world war i), consisting solely of such international cars and running but twice a week, connected st. petersburg with paris. i would have said: directly with paris, had passengers not been obliged to change from one train to a superficially similar one at the russo-german frontier (verzhbolovo-eydtkuhnen), where the",Nabokov
