old,new,old_masked,new_masked,label,donor_naturalness_score,style_naturalness_score,naturalness_delta
" stepped back a bit, as if admiring it, and his feminine heel trod on somebody’s foot.  “Splendid picture,” he exclaimed with genuine sincerity. “Well, let’s not be petty about this. You were right, and there must be an error in the catalogue.”  As he spoke, his fingers, moving as it were on their own, tore up our agreement into little bits which fell like snowflakes into a massive spittoon.  “Who’s the old ape?” asked an individual in a striped jersey, and, as my friend’s grandfather was depicted holding a glowing cigar, another funster took out a cigarette and prepared to borrow a light","stepped back a bit, to look at it, and his feminine heel trod on somebody ’ foot. ” Fanny thought it a very pretty picture, ” he exclaimed with genuine sincerity. Well, let ’ s not be petty about this. As time will tell more clearly, and there must be an error in the catalogue. ” As he spoke, his fingers, moving just behind, tore up our agreement into little bits which fell like snowflakes into a massive spittoon. “Who ’ s the old ape? ” asked an individual in a striped jersey about there, as my friend ’ s grandfather was depicted holding a glowing cigar, here readied to smoke. “How careful of you, sir"," stepped back a bit, as if admiring it, and his feminine heel trod on somebody ’ s foot. “ Splendid picture, ” he exclaimed with genuine sincerity. “ Well, let ’ s not be petty about this. You were right, and there must be an error in the catalogue. ” As he spoke, his fingers, moving as it were on their own, tore up our agreement into little bits which fell like snowflakes into a massive spittoon. “ Who ’ s the old ape? ” asked an individual in a striped jersey, and, as my friend ’ s grandfather was depicted holding a glowing cigar, another funster took out a cigarette and prepared to borrow a light"," stepped back a bit, to look at it, and his feminine heel trod on somebody ’ foot. ” <MASK> thought it a very pretty picture, ” he exclaimed with genuine sincerity. Well, let ’ s not be petty about this. As time will tell more clearly, and there must be an error in the catalogue. ” As he spoke, his fingers, moving just behind, tore up our agreement into little bits which fell like snowflakes into a massive spittoon. “ Who ’ s the old ape? ” asked an individual in a striped jersey about there, as my friend ’ s grandfather was depicted holding a glowing cigar, here readied to smoke. “ How careful of you, sir",N2A,0.99005187,0.9879147,0.0021371841
" Pal Palych! How’re they biting?” He looked upward, and gave me a nice, homey kind of wave.  A bat darted above the rose-colored mirror surface. The reflection of the foliage looked like black lace. Pal Palych, from afar, was shouting something, beckoning with his hand. A second Pal Palych quivered in the black ripples. Laughing aloud, I pushed away from the handrail.  I passed the isbas in one soundless sweep along the firmly packed path. Mooing sounds floated past through the lusterless air; some skittles flew up with a clatter. Then, farther along, on the highway, in the vastness of the","Pal Palych! How ’ re they biting? ” He looked at her, and quite stared; for, homey kind of wave. A bat darted above the rose-colored mirror surface. It was not coloured, but its eyes were golden. Pal Palych, the mirror-washer, was in wait at the other end of the room, and when it heard what was going on, beckoning with his hand. A second Pal Palych quivered in the black ripples. Laughing aloud, I pushed away from the handrail. I passed the isbas in one soundless sweep, and stood on the path to the mirror-stall. Bursting forth, however, with a sound like rushing wind; some skittles flew up with a clatter. Then, farther along, on the highway, in the vastness of the"," Pal Palych! How ’ re they biting? ” He looked upward, and gave me a nice, homey kind of wave. A bat darted above the rose-colored mirror surface. The reflection of the foliage looked like black lace. Pal <MASK>, from afar, was shouting something, beckoning with his hand. A second Pal <MASK> quivered in the black ripples. Laughing aloud, I pushed away from the handrail. I passed the isbas in one soundless sweep along the firmly packed path. Mooing sounds floated past through the lusterless air; some skittles flew up with a clatter. Then, farther along, on the highway, in the vastness of the"," Pal Palych! How ’ re they biting? ” He looked at her, and quite stared; for, homey kind of wave. A bat darted above the rose-colored mirror surface. It was not coloured, but its eyes were golden. Pal <MASK>, the mirror-washer, was in wait at the other end of the room, and when it heard what was going on, beckoning with his hand. A second Pal <MASK> quivered in the black ripples. Laughing aloud, I pushed away from the handrail. I passed the isbas in one soundless sweep, and stood on the path to the mirror-stall. Bursting forth, however, with a sound like rushing wind; some skittles flew up with a clatter. Then, farther along, on the highway, in the vastness of the",N2A,0.9601774,0.9921599,-0.03198248
" but at least it revealed a small balcony one story lower on which on three consecutive afternoons at the siesta hour he had watched the spread-eagled barmaid sunning herself on a towel. The floor of the balcony was darkly damp. It might dry in time for her siesta if the sun came out before noon. “By this evening it will all be over,” he reflected mechanically and was unable to imagine either that evening or the following day, as one is unable to imagine eternity.  Gritting his teeth he pulled on his clammy bathing trunks. The pockets of his robe were full of sand. He softly closed the door","but at least it revealed a small balcony above, and on that, in addition to the three stories afternoons at the siesta hour he had watched the entrance of Lady Catherine, and been sitting with her in the warmest latrines. The room was rather too small for comfort, but the fire was never away; and. It might dry in time for the day; though the sun was neither above nor below noon. “By this evening it will all be over, ” he reflected mechanically and was unable to imagine either that evening or the following morning could reclaim him, “and with dreadful consciousness. He rose and moved as if to be silent; but simply held his tongue bathing trunks. The pockets of his robe were full of sand. He did not return to his chair for a moment; but immediately opening it"," but at least it revealed a small balcony one story lower on which on three consecutive afternoons at the siesta hour he had watched the spread-eagled barmaid sunning herself on a towel. The floor of the balcony was darkly damp. It might dry in time for her siesta if the sun came out before noon. “ By this evening it will all be over, ” he reflected mechanically and was unable to imagine either that evening or the following day, as one is unable to imagine eternity. Gritting his teeth he pulled on his clammy bathing trunks. The pockets of his robe were full of sand. He softly closed the door"," but at least it revealed a small balcony above, and on that, in addition to the three stories afternoons at the siesta hour he had watched the entrance of Lady <MASK>, and been sitting with her in the warmest latrines. The room was rather too small for comfort, but the fire was never away; and. It might dry in time for the day; though the sun was neither above nor below noon. “ By this evening it will all be over, ” he reflected mechanically and was unable to imagine either that evening or the following morning could reclaim him, “ and with dreadful consciousness. He rose and moved as if to be silent; but simply held his tongue bathing trunks. The pockets of his robe were full of sand. He did not return to his chair for a moment; but immediately opening it",N2A,0.98626405,0.9949323,-0.008668244
" had not been placed together, told the waiter to do this immediately and ordered tea and a pony of brandy. The room was clean and brightly lit, with a still life on the wall representing plump peaches around a watermelon minus one wedge. A clean tablecloth ballooned gently and settled over the connected tables.  He put a lump of sugar in his tea and watching the bubbles rise, warmed his bloodless, always cold hands on the glass. Nearby in the bar a violin and piano were playing selections from La Traviata — and the sweet music, the brandy, the whiteness of the clean tablecloth — all this","had not been placed together, told the waiter to do this immediately and ordered tea and a pony of brandy. The whole being explained, the room was cleared of every thing but Mrs brightly lit, with a still life on the wall representing plump peaches around a watermelon minus one wedge. A clean tablecloth ballooned gently and elegantly, and two voluminous silver platters supported each other on the adjacent tables. He put a lump of sugar in his tea and watching the bubbles rise, brought out his card-table, and found his friends at it again, always cold hands on the glass. Nearby in the bar a violin and instrument stood out, they had played some of their best duets, and he had quitted his instruments to the sound of music, the brandy, the whiteness of the clean tablecloth — all this"," had not been placed together, told the waiter to do this immediately and ordered tea and a pony of brandy. The room was clean and brightly lit, with a still life on the wall representing plump peaches around a watermelon minus one wedge. A clean tablecloth ballooned gently and settled over the connected tables. He put a lump of sugar in his tea and watching the bubbles rise, warmed his bloodless, always cold hands on the glass. Nearby in the bar a violin and piano were playing selections from La Traviata — and the sweet music, the brandy, the whiteness of the clean tablecloth — all this"," had not been placed together, told the waiter to do this immediately and ordered tea and a pony of brandy. The whole being explained, the room was cleared of every thing but Mrs brightly lit, with a still life on the wall representing plump peaches around a watermelon minus one wedge. A clean tablecloth ballooned gently and elegantly, and two voluminous silver platters supported each other on the adjacent tables. He put a lump of sugar in his tea and watching the bubbles rise, brought out his card-table, and found his friends at it again, always cold hands on the glass. Nearby in the bar a violin and instrument stood out, they had played some of their best duets, and he had quitted his instruments to the sound of music, the brandy, the whiteness of the clean tablecloth — all this",N2A,0.9593023,0.9908697,-0.031567395
" not a Portrait of Lolita: the differences between the two are clearly greater than the similarities. Whether or not the later novel is a love affair between the author and the English language, a love affair between Europe and America, a jaundiced view of the motel scene and the surrounding landscape, a modern-day “free translation of Onegin” (these and a multitude of other hypotheses have been advanced, eagerly but with varying degrees of seriousness and credibility), Lolita is unquestionably the product of very new and different artistic stimuli.  On the premise that it is preferable to be","not a Portrait of Lolita: the differences between the two are clearly greater than the similarities. The author of one novel was generally speaking, for every novel, of more importance than the author of the other. The language, tone, a love affair between Europe and America, a Russellite tour of life, a good deal of the landscape, a very good account of every novel published in either language--the language of romancers and memoir (these and a multitude of other hypotheses were advanced), wase set forward by one as interesting and as witty as the other; and its probable consequences credibility), Lolita is unquestionably the product of very new and different artistic stimuli. On the premise that it is preferable to be"," not a Portrait of <MASK>: the differences between the two are clearly greater than the similarities. Whether or not the later novel is a love affair between the author and the English language, a love affair between Europe and America, a jaundiced view of the motel scene and the surrounding landscape, a modern-day “ free translation of Onegin ”( these and a multitude of other hypotheses have been advanced, eagerly but with varying degrees of seriousness and credibility), <MASK> is unquestionably the product of very new and different artistic stimuli. On the premise that it is preferable to be"," not a Portrait of <MASK>: the differences between the two are clearly greater than the similarities. The author of one novel was generally speaking, for every novel, of more importance than the author of the other. The language, tone, a love affair between Europe and America, a Russellite tour of life, a good deal of the landscape, a very good account of every novel published in either language -- the language of romancers and memoir( these and a multitude of other hypotheses were advanced), wase set forward by one as interesting and as witty as the other; and its probable consequences credibility), <MASK> is unquestionably the product of very new and different artistic stimuli. On the premise that it is preferable to be",N2A,0.9722109,0.9941891,-0.0219782
" his right, the way Anglo-Saxons do in cartoons. He procured a coin in the palm of his hand and, as he handed it to the woman vendor, said something that made her laugh. Berg laughed too. He stood with legs slightly spread. He was wearing a gray flannel suit.  “Let’s go around that booth,” said Mityushin. “It would be awkward passing right next to him.”  A strange numbness came over Anton Petrovich. Totally unconscious of what he was doing, he boarded the coach, took a window seat, removed his hat, donned it again. Only when the train jerked and began to move did his brain start working","his right, the way Anglo-Saxons do in cartoons. He procured a coin in the palm of his hand again, as he handed it to the woman vendor. He then asked her what she thought of it. Berg laughed too. He stood with legs slightly spread. He was wearing a gray flannel suit. “Let ’ s go around that booth ,” said he. “It would be awkward passing right next to him. ” A strange numbness came over Anton Petrovich. He sat motionless for half a minute, and then reproached himself with, he boarded the coach, made himself comfortable on the coachman's seat, removed his hat, and appeared ready to be happy; but. Only when the train jerked and stopped, did he regain his senses, and look at himself with amazement"," his right, the way Anglo-Saxons do in cartoons. He procured a coin in the palm of his hand and, as he handed it to the woman vendor, said something that made her laugh. <MASK> laughed too. He stood with legs slightly spread. He was wearing a gray flannel suit. “ Let ’ s go around that booth, ” said <MASK>. “ It would be awkward passing right next to him. ” A strange numbness came over <MASK> <MASK>. Totally unconscious of what he was doing, he boarded the coach, took a window seat, removed his hat, donned it again. Only when the train jerked and began to move did his brain start working"," his right, the way Anglo-Saxons do in cartoons. He procured a coin in the palm of his hand again, as he handed it to the woman vendor. He then asked her what she thought of it. <MASK> laughed too. He stood with legs slightly spread. He was wearing a gray flannel suit. “ Let ’ s go around that booth, ” said he. “ It would be awkward passing right next to him. ” A strange numbness came over <MASK> <MASK>. He sat motionless for half a minute, and then reproached himself with, he boarded the coach, made himself comfortable on the coachman 's seat, removed his hat, and appeared ready to be happy; but. Only when the train jerked and stopped, did he regain his senses, and look at himself with amazement",N2A,0.99291027,0.99296796,-5.7697296e-05
" in a gigantic, joyous world. A tall pillar on the corner is tightly swathed in wet canvases, across which a paintbrush has scattered colored whirlwinds. The old woman who sells papers has curling gray hairs on her chin, and mad light-blue eyes. Unruly newspapers stick chaotically out of her pouch. Their large type makes me think of flying zebras.  A bus stops at its signpost. Upstairs the conductor ba-bangs with his palm on the iron gunwale. The helmsman gives his huge wheel a mighty turn. A mounting, labored moan, a brief grinding sound. The wide tires have left silver imprints on the","in a gigantic, joyous world. A tall pillar on the corner is tightly shut with magnificent, glossy marble, and the gallery window is adorned with yellow and white blossoms. The old woman who sells papers has curling hair and a tuft of Gambler's crowns on her head, and great inky eyes. Unruly newspapers stick chaotically out of her pouch. Their large type makes me think of flying zebras. A bus stops at its signpost. Upstairs the conductor ba-bangs with his palm on the iron gunwale. The helmsman gives his huge wheel a mighty turn. A mounting, labored moan, a long sound. The wide tires have left silver imprints on the"," in a gigantic, joyous world. A tall pillar on the corner is tightly swathed in wet canvases, across which a paintbrush has scattered colored whirlwinds. The old woman who sells papers has curling gray hairs on her chin, and mad light-blue eyes. Unruly newspapers stick chaotically out of her pouch. Their large type makes me think of flying zebras. A bus stops at its signpost. Upstairs the conductor ba-bangs with his palm on the iron gunwale. The helmsman gives his huge wheel a mighty turn. A mounting, labored moan, a brief grinding sound. The wide tires have left silver imprints on the"," in a gigantic, joyous world. A tall pillar on the corner is tightly shut with magnificent, glossy marble, and the gallery window is adorned with yellow and white blossoms. The old woman who sells papers has curling hair and a tuft of Gambler 's crowns on her head, and great inky eyes. Unruly newspapers stick chaotically out of her pouch. Their large type makes me think of flying zebras. A bus stops at its signpost. Upstairs the conductor ba-bangs with his palm on the iron gunwale. The helmsman gives his huge wheel a mighty turn. A mounting, labored moan, a long sound. The wide tires have left silver imprints on the",N2A,0.97587585,0.99450463,-0.018628776
" traversed by the black bend-let of a branch. And sometimes Sybil Shade would trip by with the velocity and swinging arms of one flouncing out in a fit of temper, and would return a little later, at a much slower gait, having, as it were, pardoned her husband for his friendship with an eccentric neighbor; but the riddle of her behavior was entirely solved one night when by dialing their number and watching their window at the same time I magically induced her to go through the hasty and quite innocent motions that had puzzled me.  Alas, my peace of mind was soon to be shattered. The","traversed by the black bend-let of a branch. And sometimes Sybil Shade would trip by with the velocity and swinging arms of one flouncing out in a fit of temper, and would return a little later, preferring, instead of jumping, having, as it were, settled the dismissal of her domestic quarrel. With such neighbours to contend with; and, excepting Edmund, she saw nobody with any sense solved one night when by dialing their number and watching their window at the same time I magically induced her to put up with a little nervous coarseness of manner; and, unless I neglected her, shewed none but what was unconscious. I was lucky, however to be shattered. The"," traversed by the black bend-let of a branch. And sometimes <MASK> <MASK> would trip by with the velocity and swinging arms of one flouncing out in a fit of temper, and would return a little later, at a much slower gait, having, as it were, pardoned her husband for his friendship with an eccentric neighbor; but the riddle of her behavior was entirely solved one night when by dialing their number and watching their window at the same time I magically induced her to go through the hasty and quite innocent motions that had puzzled me. Alas, my peace of mind was soon to be shattered. The"," traversed by the black bend-let of a branch. And sometimes <MASK> <MASK> would trip by with the velocity and swinging arms of one flouncing out in a fit of temper, and would return a little later, preferring, instead of jumping, having, as it were, settled the dismissal of her domestic quarrel. With such neighbours to contend with; and, excepting <MASK>, she saw nobody with any sense solved one night when by dialing their number and watching their window at the same time I magically induced her to put up with a little nervous coarseness of manner; and, unless I neglected her, shewed none but what was unconscious. I was lucky, however to be shattered. The",N2A,0.8979029,0.8979029,0.0
" cross the frontier. One of the Cabinet Ministers whose identity is not certain was executed on the spot, but (he subdued his voice as he named the former President of the State)... was brought back and imprisoned.'  'No, no,' said Yanovsky, 'not Me Nisters. He all alone. Like King Lear.'  'Yes, this will do nicely,' said Dr Azureus with sincere satisfaction to Dr Alexander who had shifted some of the chairs and had brought in a few more, so that by magic the room had assumed the necessary poise.  The cat slid down from the piano and slowly walked out, on the way brushing for one mad","cross the frontier. One of the Cabinet Ministers whose identity is secured by the murder of another is, in fact, but (he subdued his voice as he named the former President of the State)... was brought back and imprisoned for life! Oh,'said Yanovsky,'not Me Nisters. He all alone. Like King Lear.' I suppose this will be sufficient,'said Dr Azureus with sincere satisfaction to Dr Connor, who had been leaning against the mantelpiece with the same view. And it was so, so that by magic the room had assumed the necessary poise. The cat slid down from the piano and was quickly up again, on the way brushing for one mad"," cross the frontier. One of the Cabinet Ministers whose identity is not certain was executed on the spot, but( he subdued his voice as he named the former President of the State) ... was brought back and imprisoned.' 'No, no,' said <MASK>, 'not Me Nisters. He all alone. Like King <MASK>.' 'Yes, this will do nicely,' said Dr <MASK> with sincere satisfaction to Dr <MASK> who had shifted some of the chairs and had brought in a few more, so that by magic the room had assumed the necessary poise. The cat slid down from the piano and slowly walked out, on the way brushing for one mad"," cross the frontier. One of the Cabinet Ministers whose identity is secured by the murder of another is, in fact, but( he subdued his voice as he named the former President of the State) ... was brought back and imprisoned for life! Oh, 'said <MASK>, 'not Me Nisters. He all alone. Like King <MASK>.' I suppose this will be sufficient, 'said Dr <MASK> with sincere satisfaction to Dr <MASK>, who had been leaning against the mantelpiece with the same view. And it was so, so that by magic the room had assumed the necessary poise. The cat slid down from the piano and was quickly up again, on the way brushing for one mad",N2A,0.9677262,0.31584477,0.6518814
" lawn, but within my thorax, and my organs swam in it like excrements in the blue sea water in Nice. One of the bathers had left the pool and, half-concealed by the peacocked shade of trees, stood quite still, holding the ends of the towel around his neck and following Lolita with his amber eyes. There he stood, in the camouflage of sun and shade, disfigured by them and masked by his own nakedness, his damp black hair or what was left of it, glued to his round head, his little mustache a humid smear, the wool on his chest spread like a symmetrical trophy, his naval pulsating, his hirsute","lawn, but within my thorax, and my sternum, and my clot in the blue sea water in Nice. That was the depth of your swimming pool. Now, here a softer green grove stands among the sterner trees, holding the ends of the towel around his neck and following Lolita with his amber eyes. There he stood, with his pomp on, and his head leaning against one of these trees; and shade, disfigured by them and masked by his own nakedness, his damp black hair or what was left of it, as he had Megalos' head, and his little shining bristles, all the ornament of a finely adorned head symmetrical trophy, his naval pulsating, his hirsute"," lawn, but within my thorax, and my organs swam in it like excrements in the blue sea water in Nice. One of the bathers had left the pool and, half-concealed by the peacocked shade of trees, stood quite still, holding the ends of the towel around his neck and following <MASK> with his amber eyes. There he stood, in the camouflage of sun and shade, disfigured by them and masked by his own nakedness, his damp black hair or what was left of it, glued to his round head, his little mustache a humid smear, the wool on his chest spread like a symmetrical trophy, his naval pulsating, his hirsute"," lawn, but within my thorax, and my sternum, and my clot in the blue sea water in Nice. That was the depth of your swimming pool. Now, here a softer green grove stands among the sterner trees, holding the ends of the towel around his neck and following <MASK> with his amber eyes. There he stood, with his pomp on, and his head leaning against one of these trees; and shade, disfigured by them and masked by his own nakedness, his damp black hair or what was left of it, as he had <MASK>' head, and his little shining bristles, all the ornament of a finely adorned head symmetrical trophy, his naval pulsating, his hirsute",N2A,0.94276994,0.9957236,-0.05295366
